feature,mean_abs_importance,method
so_Roxas_roll30mean,0.09528103,advection
CHL_Gigantes_roll7mean,0.050201777,advection
CHL_Gigantes_lag1,0.049598783,advection
CHL_Roxas_roll14mean,0.026283916,advection
CHL_Gigantes_roll30mean,0.024806783,advection
CHL_anomaly_Gigantes,0.02326169,advection
so_Roxas_roll7mean,0.016512824,advection
CHL_Roxas_roll30std,0.01577678,advection
CHL_Gigantes_roll14mean,0.0108788945,advection
Delta_thetao,0.008046222,advection
mlotst_Gigantes,0.007905897,advection
CHL_Roxas,0.006330158,advection
CHL_Gigantes_roll30std,0.005835136,advection
so_Roxas_roll14std,0.005661618,advection
thetao_Roxas_roll30std,0.005177227,advection
CHL_anomaly_Gigantes,0.13036169,climatological
CHL_Gigantes_lag1,0.110524535,climatological
so_Roxas_roll30mean,0.07063549,climatological
CHL_Gigantes_roll30mean,0.062390864,climatological
CHL_Gigantes_roll7mean,0.047837287,climatological
CHL_Gigantes_roll14mean,0.014463094,climatological
Delta_thetao,0.0134117305,climatological
so_Roxas_roll7mean,0.0116670225,climatological
wind_v_ms_Gigantes,0.009882299,climatological
mlotst_Gigantes,0.009684992,climatological
thetao_Gigantes,0.009502458,climatological
CHL_Roxas_roll30std,0.009374714,climatological
wind_v_ms_Roxas,0.0070068426,climatological
Delta_uo,0.006150411,climatological
o2_Roxas,0.005849393,climatological
CHL_Gigantes_lag1,0.050420046,cross_location_knn
CHL_Gigantes_roll7mean,0.049904805,cross_location_knn
so_Roxas_roll30mean,0.048653282,cross_location_knn
CHL_Roxas_roll14mean,0.026609441,cross_location_knn
CHL_Gigantes_roll30mean,0.024935707,cross_location_knn
CHL_Roxas_roll30std,0.022867577,cross_location_knn
CHL_anomaly_Gigantes,0.02258328,cross_location_knn
so_Roxas_roll7mean,0.016618,cross_location_knn
CHL_Gigantes_roll14mean,0.01061895,cross_location_knn
Delta_thetao,0.007790565,cross_location_knn
mlotst_Gigantes,0.0075599905,cross_location_knn
CHL_Roxas,0.00653385,cross_location_knn
CHL_Gigantes_roll30std,0.0061570494,cross_location_knn
Delta_vo,0.0053330017,cross_location_knn
thetao_Roxas_roll30std,0.0052504535,cross_location_knn
so_Roxas_roll30mean,0.09310115,cross_location_regression
CHL_Gigantes_roll7mean,0.05276142,cross_location_regression
CHL_Gigantes_lag1,0.051509656,cross_location_regression
CHL_Roxas_roll14mean,0.033113007,cross_location_regression
CHL_Gigantes_roll30mean,0.026415683,cross_location_regression
CHL_Roxas_roll30std,0.022283372,cross_location_regression
CHL_anomaly_Gigantes,0.021705156,cross_location_regression
so_Roxas_roll7mean,0.015377553,cross_location_regression
CHL_Gigantes_roll14mean,0.011110427,cross_location_regression
mlotst_Gigantes,0.007603256,cross_location_regression
Delta_thetao,0.0066213305,cross_location_regression
CHL_Roxas,0.0062652715,cross_location_regression
CHL_Gigantes_roll30std,0.0055629294,cross_location_regression
no3_Gigantes,0.005525486,cross_location_regression
thetao_Roxas_roll30std,0.00486827,cross_location_regression
so_Roxas_roll30mean,0.0963149,distance_weighted
CHL_Gigantes_lag1,0.05066339,distance_weighted
CHL_Gigantes_roll7mean,0.050174907,distance_weighted
CHL_Roxas_roll14mean,0.026281029,distance_weighted
CHL_Gigantes_roll30mean,0.024711922,distance_weighted
CHL_Roxas_roll30std,0.022754213,distance_weighted
CHL_anomaly_Gigantes,0.0226399,distance_weighted
so_Roxas_roll7mean,0.016635722,distance_weighted
CHL_Gigantes_roll14mean,0.011050414,distance_weighted
Delta_thetao,0.007931364,distance_weighted
mlotst_Gigantes,0.007740376,distance_weighted
CHL_Roxas,0.0060805916,distance_weighted
CHL_Gigantes_roll30std,0.005885365,distance_weighted
thetao_Roxas_roll30std,0.0052534863,distance_weighted
Delta_vo,0.0050130915,distance_weighted
