overall_rank,rank,model,auc_mean,auc_std,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,n_splits,notes,imputation_method
1,1,Ensemble (weighted_avg),0.8764,0.0952,0.782,0.1374,0.8582,0.0938,0.1382,0.0266,0.2361,0.0356,4,"Best ensemble strategy by AUC, then F1, then Recall across 4 common splits",linear_time
2,1,Ensemble (weighted_avg),0.8731,0.0965,0.7801,0.1379,0.8415,0.0919,0.1328,0.0236,0.2276,0.0298,4,"Best ensemble strategy by AUC, then F1, then Recall across 4 common splits",polynomial2_time
3,1,Ensemble (stacked),0.8728,0.0974,0.7724,0.0905,0.5212,0.2279,0.789,0.2519,0.5724,0.1867,4,"Best ensemble strategy by AUC, then F1, then Recall across 4 common splits",hybrid_adaptive
4,1,Ensemble (stacked),0.8709,0.097,0.7742,0.0912,0.5213,0.2237,0.7905,0.2548,0.5742,0.1833,4,"Best ensemble strategy by AUC, then F1, then Recall across 4 common splits",climatological_month_day
5,2,XGBoost (Hybrid: Gap-Type Adaptive),0.7942,0.1427,,,,,,,0.1863,0.2425,4,Task 4 downstream XGBoost evaluation (best imputation method),linear_time
6,2,XGBoost (Hybrid: Gap-Type Adaptive),0.7942,0.1427,,,,,,,0.1863,0.2425,4,Task 4 downstream XGBoost evaluation (best imputation method),polynomial2_time
7,2,XGBoost (Hybrid: Gap-Type Adaptive),0.7942,0.1427,,,,,,,0.1863,0.2425,4,Task 4 downstream XGBoost evaluation (best imputation method),climatological_month_day
8,2,XGBoost (Hybrid: Gap-Type Adaptive),0.7942,0.1427,,,,,,,0.1863,0.2425,4,Task 4 downstream XGBoost evaluation (best imputation method),hybrid_adaptive
9,3,Transformer,0.7889,0.1223,0.7802,0.0444,0.449,0.3079,0.29,0.2817,0.3299,0.2847,6,hybrid_adaptive scenario from transformer_summary.csv,linear_time
10,3,Transformer,0.7889,0.1223,0.7802,0.0444,0.449,0.3079,0.29,0.2817,0.3299,0.2847,6,hybrid_adaptive scenario from transformer_summary.csv,polynomial2_time
11,3,Transformer,0.7889,0.1223,0.7802,0.0444,0.449,0.3079,0.29,0.2817,0.3299,0.2847,6,hybrid_adaptive scenario from transformer_summary.csv,climatological_month_day
12,3,Transformer,0.7889,0.1223,0.7802,0.0444,0.449,0.3079,0.29,0.2817,0.3299,0.2847,6,hybrid_adaptive scenario from transformer_summary.csv,hybrid_adaptive
13,4,LSTM,0.6398,0.1414,0.7605,0.161,0.632,0.1328,0.1641,0.0555,0.5492,0.0696,4,Splits 1-4 of 6 rolling-origin yearly splits,linear_time
14,4,LSTM,0.6398,0.1414,0.7605,0.161,0.632,0.1328,0.1641,0.0555,0.5492,0.0696,4,Splits 1-4 of 6 rolling-origin yearly splits,polynomial2_time
15,4,LSTM,0.6398,0.1414,0.7605,0.161,0.632,0.1328,0.1641,0.0555,0.5492,0.0696,4,Splits 1-4 of 6 rolling-origin yearly splits,climatological_month_day
16,4,LSTM,0.6398,0.1414,0.7605,0.161,0.632,0.1328,0.1641,0.0555,0.5492,0.0696,4,Splits 1-4 of 6 rolling-origin yearly splits,hybrid_adaptive
17,5,GRU,0.6182,0.1219,0.7532,0.1699,0.621,0.2012,0.1752,0.0952,0.5415,0.044,4,Splits 1-4 of 6 rolling-origin yearly splits,linear_time
18,5,GRU,0.6182,0.1219,0.7532,0.1699,0.621,0.2012,0.1752,0.0952,0.5415,0.044,4,Splits 1-4 of 6 rolling-origin yearly splits,polynomial2_time
19,5,GRU,0.6182,0.1219,0.7532,0.1699,0.621,0.2012,0.1752,0.0952,0.5415,0.044,4,Splits 1-4 of 6 rolling-origin yearly splits,climatological_month_day
20,5,GRU,0.6182,0.1219,0.7532,0.1699,0.621,0.2012,0.1752,0.0952,0.5415,0.044,4,Splits 1-4 of 6 rolling-origin yearly splits,hybrid_adaptive
