mask_type,split_num,method,method_name,variable,location,rmse,mae,r2,missing_count
block_14day,0,cross_location_regression,Cross-Location Linear Regression,CHL,Gigantes Polygon,0.23886590544733335,0.1761860692376494,0.031894964624988975,56
block_14day,0,cross_location_regression,Cross-Location Linear Regression,CHL,Roxas Polygon,,,,0
block_14day,0,cross_location_regression,Cross-Location Linear Regression,mlotst,Gigantes Polygon,3.2697932958332063,2.533138730896296,-0.16134322194163775,56
block_14day,0,cross_location_regression,Cross-Location Linear Regression,mlotst,Roxas Polygon,,,,0
block_14day,0,cross_location_regression,Cross-Location Linear Regression,no3,Gigantes Polygon,0.014565342913373639,0.012844610956530968,-3.899511701588647,56
block_14day,0,cross_location_regression,Cross-Location Linear Regression,no3,Roxas Polygon,,,,0
block_14day,0,cross_location_regression,Cross-Location Linear Regression,o2,Gigantes Polygon,1.3643243042541968,1.0954841915980853,0.10753986764766599,56
block_14day,0,cross_location_regression,Cross-Location Linear Regression,o2,Roxas Polygon,,,,0
block_14day,0,cross_location_regression,Cross-Location Linear Regression,po4,Gigantes Polygon,0.004101298304735736,0.00323111517805103,0.9749918869712328,56
block_14day,0,cross_location_regression,Cross-Location Linear Regression,po4,Roxas Polygon,,,,0
block_14day,0,cross_location_regression,Cross-Location Linear Regression,so,Gigantes Polygon,0.4065416258604825,0.37874849286298273,0.10861408465955757,56
block_14day,0,cross_location_regression,Cross-Location Linear Regression,so,Roxas Polygon,,,,0
block_14day,0,cross_location_regression,Cross-Location Linear Regression,thetao,Gigantes Polygon,0.23543240385515962,0.214864102400418,0.573187221724026,56
block_14day,0,cross_location_regression,Cross-Location Linear Regression,thetao,Roxas Polygon,,,,0
block_14day,0,cross_location_regression,Cross-Location Linear Regression,uo,Gigantes Polygon,0.02318348203704554,0.01799697007656398,0.9561344099266647,56
block_14day,0,cross_location_regression,Cross-Location Linear Regression,uo,Roxas Polygon,,,,0
block_14day,0,cross_location_regression,Cross-Location Linear Regression,vo,Gigantes Polygon,0.05629734692550238,0.0436171303849754,0.15631219414851683,56
block_14day,0,cross_location_regression,Cross-Location Linear Regression,vo,Roxas Polygon,,,,0
block_14day,0,cross_location_regression,Cross-Location Linear Regression,NDVI_daily,Gigantes Polygon,0.18795905553926118,0.11611576176027026,0.036492413645046407,56
block_14day,0,cross_location_regression,Cross-Location Linear Regression,NDVI_daily,Roxas Polygon,,,,0
block_14day,0,cross_location_regression,Cross-Location Linear Regression,NDVI_raw,Gigantes Polygon,,,,56
block_14day,0,cross_location_regression,Cross-Location Linear Regression,NDVI_raw,Roxas Polygon,,,,56
block_14day,0,cross_location_regression,Cross-Location Linear Regression,precip_mm_day,Gigantes Polygon,5.698146769053238,4.1727848260896385,0.4736403730988127,56
block_14day,0,cross_location_regression,Cross-Location Linear Regression,precip_mm_day,Roxas Polygon,,,,0
block_14day,0,cross_location_regression,Cross-Location Linear Regression,wind_speed_ms,Gigantes Polygon,0.42525005700557195,0.3222531056254957,0.9641374828390147,56
block_14day,0,cross_location_regression,Cross-Location Linear Regression,wind_speed_ms,Roxas Polygon,,,,0
block_14day,0,cross_location_regression,Cross-Location Linear Regression,wind_u_ms,Gigantes Polygon,0.49399262844775504,0.40821442166444843,0.9734026592015796,56
block_14day,0,cross_location_regression,Cross-Location Linear Regression,wind_u_ms,Roxas Polygon,,,,0
block_14day,0,cross_location_regression,Cross-Location Linear Regression,wind_v_ms,Gigantes Polygon,0.42945936385437244,0.32222515259251155,0.9827375483879002,56
block_14day,0,cross_location_regression,Cross-Location Linear Regression,wind_v_ms,Roxas Polygon,,,,0
block_14day,0,cross_location_knn,Cross-Location KNN,CHL,Gigantes Polygon,,,,0
block_14day,0,cross_location_knn,Cross-Location KNN,CHL,Roxas Polygon,,,,0
block_14day,0,cross_location_knn,Cross-Location KNN,mlotst,Gigantes Polygon,,,,0
block_14day,0,cross_location_knn,Cross-Location KNN,mlotst,Roxas Polygon,,,,0
block_14day,0,cross_location_knn,Cross-Location KNN,no3,Gigantes Polygon,,,,0
block_14day,0,cross_location_knn,Cross-Location KNN,no3,Roxas Polygon,,,,0
block_14day,0,cross_location_knn,Cross-Location KNN,o2,Gigantes Polygon,,,,0
block_14day,0,cross_location_knn,Cross-Location KNN,o2,Roxas Polygon,,,,0
block_14day,0,cross_location_knn,Cross-Location KNN,po4,Gigantes Polygon,,,,0
block_14day,0,cross_location_knn,Cross-Location KNN,po4,Roxas Polygon,,,,56
block_14day,0,cross_location_knn,Cross-Location KNN,so,Gigantes Polygon,,,,56
block_14day,0,cross_location_knn,Cross-Location KNN,so,Roxas Polygon,,,,0
block_14day,0,cross_location_knn,Cross-Location KNN,thetao,Gigantes Polygon,,,,56
block_14day,0,cross_location_knn,Cross-Location KNN,thetao,Roxas Polygon,,,,0
block_14day,0,cross_location_knn,Cross-Location KNN,uo,Gigantes Polygon,,,,0
block_14day,0,cross_location_knn,Cross-Location KNN,uo,Roxas Polygon,,,,0
block_14day,0,cross_location_knn,Cross-Location KNN,vo,Gigantes Polygon,,,,0
block_14day,0,cross_location_knn,Cross-Location KNN,vo,Roxas Polygon,,,,0
block_14day,0,cross_location_knn,Cross-Location KNN,NDVI_daily,Gigantes Polygon,,,,56
block_14day,0,cross_location_knn,Cross-Location KNN,NDVI_daily,Roxas Polygon,,,,0
block_14day,0,cross_location_knn,Cross-Location KNN,NDVI_raw,Gigantes Polygon,,,,0
block_14day,0,cross_location_knn,Cross-Location KNN,NDVI_raw,Roxas Polygon,,,,0
block_14day,0,cross_location_knn,Cross-Location KNN,precip_mm_day,Gigantes Polygon,,,,0
block_14day,0,cross_location_knn,Cross-Location KNN,precip_mm_day,Roxas Polygon,,,,0
block_14day,0,cross_location_knn,Cross-Location KNN,wind_speed_ms,Gigantes Polygon,,,,56
block_14day,0,cross_location_knn,Cross-Location KNN,wind_speed_ms,Roxas Polygon,,,,0
block_14day,0,cross_location_knn,Cross-Location KNN,wind_u_ms,Gigantes Polygon,,,,0
block_14day,0,cross_location_knn,Cross-Location KNN,wind_u_ms,Roxas Polygon,,,,56
block_14day,0,cross_location_knn,Cross-Location KNN,wind_v_ms,Gigantes Polygon,,,,56
block_14day,0,cross_location_knn,Cross-Location KNN,wind_v_ms,Roxas Polygon,,,,0
block_14day,0,distance_weighted,Distance-Weighted Average,CHL,Gigantes Polygon,1.4881343603907453,1.041792265,-38.17207542286757,56
block_14day,0,distance_weighted,Distance-Weighted Average,CHL,Roxas Polygon,,,,0
block_14day,0,distance_weighted,Distance-Weighted Average,mlotst,Gigantes Polygon,6.338882993237778,5.565540945556547,-3.364610189750004,56
block_14day,0,distance_weighted,Distance-Weighted Average,mlotst,Roxas Polygon,,,,0
block_14day,0,distance_weighted,Distance-Weighted Average,no3,Gigantes Polygon,0.013984715351743053,0.005506125417857143,-3.6407641903053936,56
block_14day,0,distance_weighted,Distance-Weighted Average,no3,Roxas Polygon,,,,0
block_14day,0,distance_weighted,Distance-Weighted Average,o2,Gigantes Polygon,1.2696633713065462,1.0779966071428586,0.22708671072204445,56
block_14day,0,distance_weighted,Distance-Weighted Average,o2,Roxas Polygon,,,,0
block_14day,0,distance_weighted,Distance-Weighted Average,po4,Gigantes Polygon,0.008840737572443877,0.005043886013477273,0.8835478049010317,56
block_14day,0,distance_weighted,Distance-Weighted Average,po4,Roxas Polygon,,,,0
block_14day,0,distance_weighted,Distance-Weighted Average,so,Gigantes Polygon,0.4165626122115367,0.35860688153232606,0.46508707735768673,56
block_14day,0,distance_weighted,Distance-Weighted Average,so,Roxas Polygon,,,,0
block_14day,0,distance_weighted,Distance-Weighted Average,thetao,Gigantes Polygon,0.5551366355112112,0.4792735718323717,-1.3730381339427908,56
block_14day,0,distance_weighted,Distance-Weighted Average,thetao,Roxas Polygon,,,,0
block_14day,0,distance_weighted,Distance-Weighted Average,uo,Gigantes Polygon,0.06224195571058874,0.05739114696293006,0.6838209387644368,56
block_14day,0,distance_weighted,Distance-Weighted Average,uo,Roxas Polygon,,,,0
block_14day,0,distance_weighted,Distance-Weighted Average,vo,Gigantes Polygon,0.08579086691214619,0.06660664686933156,-0.9592417531624606,56
block_14day,0,distance_weighted,Distance-Weighted Average,vo,Roxas Polygon,,,,0
block_14day,0,distance_weighted,Distance-Weighted Average,NDVI_daily,Gigantes Polygon,0.1288736952723954,0.11298732345539013,0.5470427730252574,56
block_14day,0,distance_weighted,Distance-Weighted Average,NDVI_daily,Roxas Polygon,,,,0
