feature,mean_abs_importance,method
so_Roxas_roll30mean,0.09310115,cross_location_regression
CHL_Gigantes_roll7mean,0.05276142,cross_location_regression
CHL_Gigantes_lag1,0.051509656,cross_location_regression
CHL_Roxas_roll14mean,0.033113007,cross_location_regression
CHL_Gigantes_roll30mean,0.026415683,cross_location_regression
CHL_Roxas_roll30std,0.022283372,cross_location_regression
CHL_anomaly_Gigantes,0.021705156,cross_location_regression
so_Roxas_roll7mean,0.015377553,cross_location_regression
CHL_Gigantes_roll14mean,0.011110427,cross_location_regression
mlotst_Gigantes,0.007603256,cross_location_regression
Delta_thetao,0.0066213305,cross_location_regression
CHL_Roxas,0.0062652715,cross_location_regression
CHL_Gigantes_roll30std,0.0055629294,cross_location_regression
no3_Gigantes,0.005525486,cross_location_regression
thetao_Roxas_roll30std,0.00486827,cross_location_regression
