feature,mean_abs_importance,method
so_Roxas_roll30mean,0.08238577,hybrid_sequential
CHL_Gigantes_lag1,0.045917373,hybrid_sequential
CHL_Gigantes_roll7mean,0.03621367,hybrid_sequential
CHL_Gigantes_roll30mean,0.033230897,hybrid_sequential
CHL_anomaly_Gigantes,0.03093587,hybrid_sequential
so_Roxas_roll7mean,0.014630768,hybrid_sequential
CHL_Roxas_roll30std,0.00915674,hybrid_sequential
CHL_Gigantes_roll14mean,0.0070557655,hybrid_sequential
mlotst_Gigantes,0.0066517773,hybrid_sequential
CHL_Gigantes_roll30std,0.006118242,hybrid_sequential
Delta_thetao,0.0054795058,hybrid_sequential
thetao_Gigantes,0.005285588,hybrid_sequential
thetao_Gigantes_roll7std,0.0046043545,hybrid_sequential
so_Gigantes,0.0043832436,hybrid_sequential
CHL_Roxas_roll7std,0.004350265,hybrid_sequential
