model,threshold,accuracy,precision,recall,f1,f2
lstm,0.05,0.3946001410889502,0.27124833997343956,0.8319755600814664,0.40911367050575864,0.5886167146974063
lstm,0.1,0.4532803180914513,0.2901488176755227,0.8090631364562119,0.42712183321013375,0.5959122445152822
lstm,0.15,0.4823318155582633,0.2978142076502732,0.7769857433808554,0.4305869074492099,0.5878274268104776
lstm,0.2,0.5533252100301417,0.31555933438600753,0.6614052953156823,0.4272674944494696,0.5424932136145333
lstm,0.21,0.5778875136279099,0.32557833859095686,0.6306008146639511,0.4294382801664355,0.5310891938250428
lstm,0.22,0.6117488616686975,0.34647602541883304,0.6107433808553971,0.44213048286030227,0.5299081109736703
lstm,0.23,0.6404797024305778,0.36695210910244214,0.5891038696537678,0.45221809654094197,0.5254791534199291
lstm,0.24,0.6638876418905919,0.3858062271699426,0.564663951120163,0.4584065309496745,0.5167513163412703
lstm,0.25,0.6854357724620022,0.40672140538476226,0.5422606924643585,0.46481178396072015,0.5083774881855936
lstm,0.26,0.7060219329186174,0.43163818257607334,0.5272403258655805,0.4746733898693559,0.5048756704046806
lstm,0.27,0.7315462066311806,0.46994408201304755,0.5134928716904277,0.49075425790754257,0.5041491701659668
lstm,0.28,0.7571987430257167,0.5185669456066946,0.504837067209776,0.5116099071207431,0.5075245700245701
lstm,0.29,0.7756044378887963,0.5619763074255996,0.49516293279022405,0.5264582487481392,0.5072236999947843
lstm,0.3,0.7879176553581735,0.5975494816211122,0.48421588594704684,0.5349458585290395,0.5033077533739084
lstm,0.31,0.7930481626370808,0.6167166167166167,0.4714867617107943,0.5344106189583033,0.49479027518033664
lstm,0.32,0.7967036490733022,0.6317802503477051,0.4625763747454175,0.5340975896531452,0.48875618678717453
lstm,0.33,0.7979221445520426,0.640506329113924,0.4508655804480652,0.5292096219931272,0.47924446609298044
lstm,0.34,0.7978580132110562,0.6448842419716206,0.43966395112016293,0.5228580078716318,0.4695486677542142
lstm,0.35,0.7972808311421792,0.6475567525971527,0.4284623217922607,0.515703998774322,0.45955982742613727
lstm,0.36,0.798563457961906,0.6591184795794581,0.414969450101833,0.5092954225902203,0.4481715699752543
lstm,0.37,0.8004232668505098,0.6708542713567839,0.4078411405295316,0.5072830905636478,0.4425414364640884
lstm,0.38,0.8008080548964279,0.6802631578947368,0.394857433808554,0.4996778350515464,0.4310248999555358
lstm,0.39,0.8001667414865645,0.6867525298988041,0.38009164969450104,0.4893477548344805,0.41736553729173653
lstm,0.4,0.7995254280767011,0.6933461909353905,0.36608961303462323,0.47917360879706766,0.4042505341279658
lstm,0.41,0.7959982043224524,0.6900763358778625,0.34521384928716903,0.4602070252842355,0.3835492447813543
lstm,0.42,0.7925992432501764,0.6853632478632479,0.3266293279022403,0.44241379310344825,0.36482029117379433
lstm,0.43,0.7892002821779004,0.6832475700400229,0.30422606924643586,0.4209970054606306,0.34219116889067064
lstm,0.44,0.7856730584236516,0.6788766788766789,0.2830957230142566,0.3995688106360043,0.32046109510086457
lstm,0.45,0.7815045212595395,0.6749496306245802,0.25585539714867617,0.3710540889791397,0.29213417824545085
lstm,0.46,0.7803501571217855,0.6842490842490843,0.23778004073319756,0.3529189495560174,0.2734672366340692
lstm,0.47,0.7784903482331815,0.6905144694533762,0.21868635437881873,0.33217324052590874,0.2533026657230479
lstm,0.48,0.7759892259347143,0.6886383347788378,0.20213849287169042,0.31253690218460933,0.23539875481766973
lstm,0.49,0.7772718527544411,0.7132146204311153,0.19373727087576376,0.30470470470470473,0.22677155968770488
lstm,0.5,0.7793240556660039,0.7497435897435898,0.18609979633401222,0.29818478482561694,0.21903278000838977
lstm,0.55,0.7752196498428782,0.7816245006657789,0.1494399185336049,0.25090831374225264,0.1782785640527243
lstm,0.6,0.7700250112229847,0.7898305084745763,0.11863543788187372,0.20628596724214254,0.1429272481904061
lstm,0.65,0.7638042711473096,0.7777777777777778,0.08732179226069246,0.15701533531700618,0.10617222806908934
lstm,0.7,0.7507856089270827,0.605,0.03080448065173116,0.05862403100775194,0.03802161890397184
lstm,0.75,0.7472583851728339,0.30303030303030304,0.0025458248472505093,0.005049229992426155,0.0031756113051762463
lstm,0.8,0.7473866478548067,0.07692307692307693,0.0002545824847250509,0.0005074854097944684,0.0003179650238473768
lstm,0.85,0.7480920926056563,0.0,0.0,0.0,0.0
lstm,0.9,0.7480920926056563,0.0,0.0,0.0,0.0
lstm,0.95,0.7480920926056563,0.0,0.0,0.0,0.0
gru,0.05,0.4838068364009491,0.3063985718312506,0.830193482688391,0.44760140004117765,0.6186681844052362
gru,0.1,0.5957801577630988,0.3604418850628746,0.7808044806517311,0.4932057570153574,0.6331282771149003
gru,0.15,0.6929391393574039,0.4368018812463257,0.7566191446028513,0.5538576220648528,0.6599751287972997
gru,0.2,0.7502084268582057,0.5032967032967033,0.6412932790224033,0.5639762677711855,0.6079548197132789
gru,0.21,0.7535432565894953,0.5089681367377084,0.6140529531568228,0.5565939771547248,0.5897022150506088
gru,0.22,0.757262874366703,0.516013437849944,0.5865580448065173,0.5490289526986775,0.57094711800565
gru,0.23,0.7599563906881293,0.5220816423967534,0.5567718940936863,0.5388690402858198,0.5494698758856339
gru,0.24,0.7628423010325146,0.5293068297655453,0.5287678207739308,0.5290371879775854,0.5288755347321247
gru,0.25,0.765920605399859,0.5381030701754386,0.49974541751527496,0.5182154171066525,0.5069731404958677
gru,0.26,0.7723978708394793,0.5562815562815563,0.4768329938900204,0.5135023989033585,0.49085381833429426
gru,0.27,0.7782338228692361,0.5740390674228103,0.4638492871690428,0.5130949028442692,0.48236789155988563
gru,0.28,0.7824664913743347,0.5888594164456233,0.45213849287169044,0.511520737327189,0.4741563434429731
gru,0.29,0.786314371833515,0.6046348314606742,0.43839103869653767,0.5082644628099173,0.4639008620689655
gru,0.3,0.7902905149746681,0.6227611940298508,0.42489816700611,0.5051452784503632,0.45372988255763375
