rank,method_name,rmse_mean,rmse_std,mae_mean,mae_std,r2_mean,r2_std,f1_mean,f1_std,auc_mean,auc_std,n_splits
1,Hybrid: Gap-Type Adaptive,0.275852,0.044155,0.213804,0.043228,0.106958,0.200605,0.186275,0.242536,0.794181,0.142744,4
2,Linear Interpolation,0.302202,0.043989,0.212657,0.03597,-0.064763,0.163155,0.0,0.0,0.596218,0.237908,4
3,Hybrid: Sequential Temporal→Spatial,0.303421,0.044225,0.212942,0.035982,-0.073289,0.163801,0.0,0.0,0.600687,0.236386,4
4,Distance-Weighted Average,0.312396,0.045555,0.231196,0.054194,-0.126534,0.047455,0.0,0.0,0.437244,0.080123,4
5,Cross-Location KNN,0.312613,0.046033,0.23143,0.054358,-0.127657,0.047993,0.0,0.0,0.390891,0.152882,4
6,Advection-Based,0.312713,0.045804,0.23168,0.05391,-0.12864,0.047414,0.0,0.0,0.429131,0.075914,4
7,EOF/PCA Spatial Modes,0.313285,0.0463,0.232553,0.055387,-0.132275,0.040598,0.0,0.0,0.447956,0.075817,4
8,Cross-Location Regression,0.313285,0.0463,0.232553,0.055387,-0.132275,0.040598,0.0,0.0,0.447956,0.075817,4
9,Spatial Kriging,0.314703,0.047267,0.234076,0.056129,-0.142054,0.056312,0.0,0.0,0.400039,0.106041,4
10,Hybrid: Temporal-Spatial Ensemble,0.36915,0.133526,0.264235,0.122017,-0.593635,0.841751,0.0,0.0,0.598136,0.24838,4
11,Climatological Substitution,0.406158,0.110428,0.3353,0.091456,-1.187664,1.564168,0.290553,0.228998,0.696289,0.024906,4
